carrier,scheduled_flights,eligible_operated_flights,arrival_delay_15_rate,average_arrival_delay,median_arrival_delay,cancellation_rate,diversion_rate
WN,105307,102120,15.21,-1.17,-9.0,2.86,0.16
DL,76306,74025,19.32,5.22,-9.0,2.8,0.19
AA,75088,72082,19.23,5.57,-8.0,3.73,0.27
OO,65036,63502,20.88,7.94,-8.0,2.07,0.29
UA,62007,60668,17.63,1.29,-8.0,1.92,0.24
YX,27833,26683,16.02,-2.29,-11.0,4.02,0.11
MQ,21890,20831,18.43,4.81,-8.0,4.71,0.13
OH,21094,19151,25.48,14.14,-5.0,9.0,0.21
AS,18163,17847,17.58,-0.12,-7.0,1.34,0.4
B6,17918,17558,24.46,5.81,-6.0,1.8,0.21
NK,17544,16946,18.08,0.65,-9.0,3.26,0.15
F9,15526,15110,25.98,10.82,-6.0,2.52,0.15
