airport,flight_volume,arrival_delay_15_rate,average_arrival_delay,cancellation_rate
DFW,25125,21.91,11.48,6.39
DEN,24740,20.38,5.91,1.49
ATL,23881,19.87,8.1,5.36
ORD,21641,19.41,6.14,1.95
CLT,16883,16.34,2.93,4.59
PHX,15949,14.16,-0.02,1.08
LAX,15143,15.4,-1.53,1.16
LAS,15004,18.83,1.96,1.21
MCO,13052,19.75,3.49,1.87
SEA,11893,17.18,0.91,1.14
DCA,11740,21.48,6.81,8.88
LGA,10909,21.56,3.42,2.82
SFO,10832,15.38,-3.84,0.87
BOS,10622,16.56,0.03,2.26
MIA,10184,21.74,6.73,2.13
EWR,10139,17.62,-0.18,2.15
