airport,flight_volume,arrival_delay_15_rate,average_arrival_delay,cancellation_rate
DFW,25124,21.68,8.2,6.34
DEN,24732,24.94,6.59,1.27
ATL,23881,23.24,11.77,5.23
ORD,21643,21.2,4.15,1.77
CLT,16877,19.55,4.57,4.5
PHX,15956,12.22,-3.32,0.93
LAX,15157,12.93,-3.84,1.04
LAS,15007,14.93,-1.6,1.12
MCO,13058,18.76,2.46,1.62
SEA,11882,15.91,-1.43,0.92
DCA,11734,23.34,7.49,9.35
LGA,10905,20.71,2.28,2.95
SFO,10839,13.36,-1.88,0.75
BOS,10624,20.61,2.15,2.37
MIA,10182,22.28,6.02,2.12
EWR,10144,19.67,2.32,2.06
