column_name,dtype,non_null_count,missing_count,missing_percentage,unique_values
YEAR,int64,539747,0,0.0,1
QUARTER,int64,539747,0,0.0,1
MONTH,int64,539747,0,0.0,1
DAY_OF_MONTH,int64,539747,0,0.0,31
DAY_OF_WEEK,int64,539747,0,0.0,7
FL_DATE,str,539747,0,0.0,31
OP_UNIQUE_CARRIER,str,539747,0,0.0,14
OP_CARRIER_AIRLINE_ID,int64,539747,0,0.0,14
OP_CARRIER,str,539747,0,0.0,14
TAIL_NUM,str,537217,2530,0.47,5612
OP_CARRIER_FL_NUM,int64,539747,0,0.0,6390
ORIGIN_AIRPORT_ID,int64,539747,0,0.0,329
ORIGIN_AIRPORT_SEQ_ID,int64,539747,0,0.0,329
ORIGIN_CITY_MARKET_ID,int64,539747,0,0.0,306
ORIGIN,str,539747,0,0.0,329
ORIGIN_CITY_NAME,str,539747,0,0.0,323
ORIGIN_STATE_ABR,str,539747,0,0.0,52
DEST_AIRPORT_ID,int64,539747,0,0.0,329
DEST_AIRPORT_SEQ_ID,int64,539747,0,0.0,329
DEST_CITY_MARKET_ID,int64,539747,0,0.0,306
DEST,str,539747,0,0.0,329
DEST_CITY_NAME,str,539747,0,0.0,323
DEST_STATE_ABR,str,539747,0,0.0,52
DEST_STATE_NM,str,539747,0,0.0,52
CRS_DEP_TIME,int64,539747,0,0.0,1209
DEP_TIME,float64,523861,15886,2.94,1396
DEP_DELAY,float64,523824,15923,2.95,1117
DEP_DELAY_NEW,float64,523824,15923,2.95,1075
DEP_DEL15,float64,523824,15923,2.95,2
DEP_DELAY_GROUP,float64,523824,15923,2.95,15
DEP_TIME_BLK,str,539747,0,0.0,19
TAXI_OUT,float64,523520,16227,3.01,171
WHEELS_OFF,float64,523520,16227,3.01,1400
WHEELS_ON,float64,523167,16580,3.07,1440
TAXI_IN,float64,523167,16580,3.07,155
CRS_ARR_TIME,int64,539747,0,0.0,1310
ARR_TIME,float64,523167,16580,3.07,1440
ARR_DELAY,float64,522269,17478,3.24,1153
ARR_DELAY_NEW,float64,522269,17478,3.24,1071
ARR_DEL15,float64,522269,17478,3.24,2
ARR_DELAY_GROUP,float64,522269,17478,3.24,15
ARR_TIME_BLK,str,539747,0,0.0,19
CANCELLED,float64,539747,0,0.0,2
CANCELLATION_CODE,str,16312,523435,96.98,4
DIVERTED,float64,539747,0,0.0,2
CRS_ELAPSED_TIME,float64,539747,0,0.0,467
ACTUAL_ELAPSED_TIME,float64,522269,17478,3.24,666
AIR_TIME,float64,522269,17478,3.24,634
FLIGHTS,float64,539747,0,0.0,1
DISTANCE,float64,539747,0,0.0,1487
DISTANCE_GROUP,int64,539747,0,0.0,11
CARRIER_DELAY,float64,98130,441617,81.82,835
WEATHER_DELAY,float64,98130,441617,81.82,604
NAS_DELAY,float64,98130,441617,81.82,378
SECURITY_DELAY,float64,98130,441617,81.82,81
LATE_AIRCRAFT_DELAY,float64,98130,441617,81.82,622
