carrier,scheduled_flights,operated_flights,late_arrival_flights,late_arrival_rate_pct,avg_arrival_delay,cancelled_flights,cancellation_rate_pct,diverted_flights,diversion_rate_pct
WN,105307,102291,15531,15.18,-1.17,3016,2.86,171,0.16
DL,76306,74169,14302,19.28,5.22,2137,2.8,144,0.19
AA,75088,72286,13860,19.17,5.57,2802,3.73,204,0.27
OO,65036,63693,13261,20.82,7.94,1343,2.07,191,0.29
UA,62007,60818,10694,17.58,1.29,1189,1.92,150,0.24
YX,27833,26714,4274,16.0,-2.29,1119,4.02,31,0.11
MQ,21890,20860,3839,18.4,4.81,1030,4.71,29,0.13
OH,21094,19195,4880,25.42,14.14,1899,9.0,44,0.21
AS,18163,17920,3137,17.51,-0.12,243,1.34,73,0.4
B6,17918,17595,4294,24.4,5.81,323,1.8,37,0.21
NK,17544,16972,3064,18.05,0.65,572,3.26,26,0.15
F9,15526,15134,3925,25.93,10.82,392,2.52,24,0.15
