airport,flight_count,late_arrival_flights,late_arrival_rate_pct,avg_arrival_delay,cancelled_flights,cancellation_rate_pct
DFW,25125,5135,20.44,11.48,1605,6.39
DEN,24740,4962,20.06,5.91,368,1.49
ATL,23881,4486,18.78,8.1,1281,5.36
ORD,21641,4113,19.01,6.14,421,1.95
CLT,16883,2630,15.58,2.93,775,4.59
PHX,15949,2231,13.99,-0.02,173,1.08
LAX,15143,2301,15.2,-1.53,175,1.16
LAS,15004,2788,18.58,1.96,181,1.21
MCO,13052,2529,19.38,3.49,244,1.87
SEA,11893,2015,16.94,0.91,136,1.14
DCA,11740,2285,19.46,6.81,1043,8.88
LGA,10909,2278,20.88,3.42,308,2.82
SFO,10832,1651,15.24,-3.84,94,0.87
BOS,10622,1718,16.17,0.03,240,2.26
MIA,10184,2164,21.25,6.73,217,2.13
EWR,10139,1746,17.22,-0.18,218,2.15
